960373347	+31765214531	60
960373347	960703223	90
930930597	919021596	360
960373347	+81728423983	30
939999868	271055066	234
930930597	960703223	603
934863725	962402153	518
930930597	967705618	163
914293467	934877413	537
934863725	938078294	532
961393096	919021596	129
963970864	228628637	162
930930597	939460329	458
934863725	939747620	445
934863725	934192590	427
914293467	932935286	580
960373347	271055066	330
919274650	939460329	37
961393096	237395357	318
919274650	934877413	470
963970864	934877413	245
962613058	939460329	106
939999868	916747594	401
914293467	+351234872325	52
913862602	934877413	130
914293467	+351234872325	26
939999868	932506907	570
939999868	228628637	460
960373347	919530258	263
939999868	960703223	470
914293467	932106163	525
961393096	938078294	418
913862602	916747594	152
963970864	914917941	302
939999868	963865883	422
963970864	+31765214531	437
919274650	231233053	269
914293467	934877413	188
963970864	228628637	415
934863725	231233053	501
913862602	913297593	221
963970864	910898341	36
962613058	+1555234812	241
960373347	919530258	488
934863725	969614202	529
913862602	919169253	509
961393096	960703223	379
914293467	938078294	165
939999868	962402153	91
914293467	939747620	553
963970864	965411417	146
934863725	932935286	436
934863725	939460329	423
961393096	+351234872325	49
930930597	934877413	163
939999868	969565271	467
919274650	962456381	548
961393096	910898341	302
962613058	914917941	378
913862602	938078294	499
930930597	939460329	393
934863725	271055066	527
962613058	910898341	592
930930597	913297593	91
934863725	969565271	367
914293467	967705618	516
919274650	+81728423983	88
963970864	969565271	372
939999868	969614202	13
913862602	910898341	415
963970864	919530258	186
930930597	969565271	81
939999868	960703223	360
934863725	960191430	556
930930597	939747620	24
913862602	916747594	125
963970864	+31765214531	87
913862602	913297593	153
962613058	969614202	279
962613058	938078294	562
934863725	+1555234812	198
962613058	+81728423983	266
961393096	939747620	341
934863725	919169253	366
919274650	914917941	216
919274650	+351234872325	422
939999868	962456381	388
930930597	932506907	588
960373347	237395357	112
919274650	228628637	530
914293467	939460329	528
930930597	934877413	489
963970864	271055066	331
939999868	934192590	34
913862602	965411417	280
939999868	+351234872325	224
914293467	939747620	372
961393096	939747620	203
961393096	+1555234812	77
919274650	934877413	598
